State,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
NY,12000.0,788680890.2011362,5054711.0,12032862907.568323,2040442.426603933,1426218638.098899,1221774858.2484407,542082.0,90934.0,255596.0,1854671574.0,1037043967.0,11083231103.076258,8318430498.287158,788273396.0,725000562.0,21360206177.0,3776572303.0
OH,5501.0,437178911.3428968,3291424.0,7733517855.005714,1026001.7954291595,866638379.0480016,679194866.9944378,396032.0,71828.0,151521.0,875854183.0,61734493.0,7306666331.522466,5648305611.055096,390324193.0,355507833.0,4785611300.0,1730991425.0
OK,1600.0,162262165.0175411,1026282.0,2692644379.944039,232863.4155891476,287519560.96582115,150401201.1739873,116744.0,14649.0,26982.0,210984892.0,13337300.0,2654357420.808613,2098132591.3547938,92596262.0,83827970.0,1196397300.0,467737116.0
OR,1713.0,131270827.99231097,1265373.0,3154436080.672879,333775.16384021565,335629446.6961345,261820913.93030602,116339.0,19759.0,45828.0,313557268.0,26078181.0,3024186633.498075,2363257009.771146,137170645.0,126931671.0,2920861300.0,562717876.0
PA,5532.0,426243230.8095674,3128055.0,7319090174.452826,1221772.3877454072,926175598.191343,626127490.2863022,365639.0,50472.0,147672.0,796044224.0,110779971.0,6828025432.31874,5061089658.542331,346221545.0,319476815.0,6600659100.0,2037007988.0
RI,1119.0,65280127.844864696,827898.0,1778659214.383392,340033.0544702866,202349681.305128,113965949.66847627,98021.0,10040.0,41701.0,208088639.0,32086863.0,1588127133.205484,1168754901.7705758,92756655.0,83497139.0,2325791421.0,529588606.0
SC,1193.0,110506008.78575784,622264.0,1761655572.117508,152798.68154381914,278671442.5076829,125144776.22360685,45327.0,11892.0,19240.0,153556899.0,5648873.0,1760686584.9486234,1379447078.5109336,72675548.0,61270197.0,969303506.0,266695931.0
SD,348.0,32433384.785466254,509981.0,1084316607.1241188,81301.8645537453,115277749.34014012,47307971.49500475,39346.0,5202.0,7073.0,72942366.0,1925310.0,1080045423.261995,890273133.5616192,32566851.0,30129399.0,585511100.0,220712639.0
TN,2068.0,167241999.54392457,1050990.0,2831461810.87755,232804.61186472012,265627280.51302847,141738306.61073428,105425.0,19720.0,31448.0,273310672.0,11654859.0,2822337502.5114007,2221346896.765599,119638215.0,108059509.0,1558063600.0,460245775.0
TX,13604.0,1538660368.6650352,7685651.0,22295611217.031475,1898397.8952109686,2710027916.6356473,2052984553.4381857,746469.0,141375.0,269456.0,2321936576.0,190820424.0,21854066329.55798,16668053324.237411,924181570.0,843917871.0,11325313600.0,4011644810.0
UT,3344.0,225652105.02016163,2060094.0,4490101468.576607,597859.0438436163,595336871.9656469,490292356.5435884,186688.0,70179.0,103299.0,542523386.0,38132749.0,4100084284.4814124,3307962328.9269958,190191582.0,174788604.0,4138906300.0,1077265628.0
VA,2640.0,218673938.46899724,1397013.0,3609940611.8643727,365631.860278482,413940359.7582457,355983395.06100553,143402.0,33038.0,52136.0,395681639.0,32938888.0,3542165577.3512335,2805332475.2375045,160610058.0,149968395.0,4090088115.0,1008966716.0
VT,419.0,30532065.014811166,597019.0,1256015712.1161532,143403.2935611186,135675056.88809514,56797527.399542354,51994.0,4651.0,14191.0,48636565.0,2777538.0,1217935236.8811326,935462618.3000451,23232463.0,20467370.0,1263787701.0,300720757.0
WA,3348.0,265345652.7810775,2645056.0,6972923568.953861,659438.9460294141,726988885.2484801,589854047.076779,272455.0,36767.0,87259.0,631437584.0,76307807.0,6788968983.627297,5335649759.351911,272393120.0,251838728.0,6859274105.0,1413489432.0
WI,2598.0,276163940.3680797,2408011.0,6491344851.870336,545443.4396321792,772436366.0071579,495225032.6424136,254710.0,38055.0,90794.0,466974469.0,32624807.0,6277190034.680964,4966682218.181793,207129133.0,190388030.0,3658344100.0,1158134147.0
WV,557.0,55929597.19454201,323887.0,758431000.2764482,79228.18586552657,70332697.32046008,34197801.201085836,32650.0,3955.0,6964.0,54017647.0,1917251.0,737035242.2102039,575836646.9567612,25619760.0,22963181.0,358670999.0,134120936.0
WY,203.0,24788773.10051717,330468.0,740491851.7283098,60026.46772385619,81265837.71108054,45985831.75817441,30578.0,3172.0,6432.0,45054246.0,313984.0,734072994.7413357,594572646.28439,20560792.0,18312075.0,583643507.0,164051812.0
